region_name,region_type,region_id,color
AV,allen_ccf,255,#FF909F
SSp-ul6a,allen_ccf,945,#188064
AIv6b,allen_ccf,699,#219866
SUT,allen_ccf,534,#FFBA86
VII,allen_ccf,661,#FFB3D9
cpd,allen_ccf,924,#CCCCCC
VLPO,allen_ccf,689,#FF5547
SCzo,allen_ccf,834,#FF7AFF
AId,allen_ccf,104,#219866
MB,allen_ccf,313,#FF64FF
DMH,allen_ccf,830,#FF5547
VISl1,allen_ccf,421,#08858C
VISrl5,allen_ccf,312782616,#009FAC
VISli6b,allen_ccf,312782598,#08858C
SSp-n4,allen_ccf,654,#188064
SSp-un5,allen_ccf,182305705,#188064
ACAv,allen_ccf,48,#40A666
PSV,allen_ccf,7,#FFAE6F
PRE,allen_ccf,1084,#59B947
AIp1,allen_ccf,120,#219866
VISpor5,allen_ccf,312782644,#08858C
RPO,allen_ccf,238,#FFC395
ENTl3,allen_ccf,52,#32B825
AUDp6b,allen_ccf,1005,#019399
ACAd6a,allen_ccf,919,#40A666
RSP,allen_ccf,254,#1AA698
AId,allen_ccf,104,#219866
ENTm3,allen_ccf,664,#32B825
VISrl6b,allen_ccf,312782624,#009FAC
AUDp,allen_ccf,1002,#019399
LRNm,allen_ccf,955,#FFB3D9
MBsen,allen_ccf,339,#FF7AFF
III,allen_ccf,35,#FF90FF
VISpor1,allen_ccf,312782632,#08858C
SSp-ul,allen_ccf,369,#188064
AIp5,allen_ccf,344,#219866
SSp-un1,allen_ccf,182305693,#188064
VL,allen_ccf,81,#AAAAAA
mfb,allen_ccf,54,#CCCCCC
ts,allen_ccf,237,#CCCCCC
VISl5,allen_ccf,613,#08858C
CTXsp,allen_ccf,703,#8ADA87
VISrl1,allen_ccf,312782604,#009FAC
CEA,allen_ccf,536,#80C0E2
DTN,allen_ccf,880,#FFBA86
sup,allen_ccf,349,#CCCCCC
ORBvl6a,allen_ccf,608,#248A5E
AUDpo6a,allen_ccf,249,#019399
stc,allen_ccf,484682528,#CCCCCC
ar,allen_ccf,484682524,#CCCCCC
MSC,allen_ccf,904,#96A7D3
ILA6a,allen_ccf,1054,#59B363
ADP,allen_ccf,72,#FF5547
cm,allen_ccf,967,#CCCCCC
MPO,allen_ccf,523,#FF5547
VISp6a,allen_ccf,33,#08858C
scwm,allen_ccf,484682512,#CCCCCC
sctv,allen_ccf,866,#CCCCCC
PL2,allen_ccf,195,#2FA850
MPN,allen_ccf,515,#FF4C3E
AD,allen_ccf,64,#FF909F
MEPO,allen_ccf,452,#FF5547
PARN,allen_ccf,852,#FFB3D9
CL,allen_ccf,575,#FF909F
LC,allen_ccf,147,#FFC395
AOBmi,allen_ccf,204,#9DF0D2
MG,allen_ccf,475,#FF8084
AUDv6a,allen_ccf,520,#019399
LT,allen_ccf,66,#FF90FF
lotd,allen_ccf,538,#CCCCCC
ORBm6a,allen_ccf,910,#248A5E
TRS,allen_ccf,581,#96A7D3
mp,allen_ccf,673,#CCCCCC
AIv,allen_ccf,119,#219866
AIp,allen_ccf,111,#219866
SLD,allen_ccf,358,#FFC395
VeCB,allen_ccf,589508455,#FFFDBC
